Feature,Importance
overall_approval_rate,0.15582125485250195
approval_rate_2nd,0.15235275317973385
Admission grade,0.10454560855404735
total_approved,0.08962156992975032
approval_rate_1st,0.08742564645624523
eval_ratio_1st,0.07973548547269485
Age at enrollment,0.06802017990752418
Tuition fees up to date,0.052106946611379525
total_enrolled,0.04380552071091616
Father_edu_group,0.0302001631278511
Mother_edu_group,0.029970319894573234
application_group,0.02428518749483769
Scholarship holder,0.021276977887915337
Gender,0.019388996200519343
eval_miss_rate_1st,0.012512349149620095
Debtor,0.012342572946791454
Daytime/evening attendance	,0.00723242564334017
Marital status,0.007029942468623656
International,0.00232609951113463
